Delta / Tau , 2Tau = 10ms,,, 2Tau = 500ms,,,
,BER=0.0, BER=1e-5, BER=1e-4, BER=0.0, BER=1e-5, BER=1e-4
2.5,963575.7694568584,822061.5139237188,233168.27983718272,23882.80168121113,20496.44534000819,5614.078736740505
5.0,963575.7694568584,738237.6714367748,141288.51608266917,23882.80168121113,17691.63831829842,3173.9644373396313
7.5,963575.7694568584,667121.1230251645,104653.3479212489,23882.80168121113,15773.287539633293,2208.7117838624627
10.0,963575.7694568584,613780.58797504,80557.27936739396,23882.80168121113,14296.387666158036,1703.4680279021438
12.5,963575.7694568584,572532.0014602387,66273.8551056223,23882.80168121113,12983.170827379747,1396.1460104396244
