Delta / Tau , 2Tau = 10ms,,, 2Tau = 500ms,,,
,BER=0.0, BER=1e-5, BER=1e-4, BER=0.0, BER=1e-5, BER=1e-4
2.5,3853833.4556210646,2441698.184196722,305073.64110789046,95530.91818943595,64604.73017939957,7647.616488807021
5.0,3853833.4556210646,1827630.8106334428,172445.0490464291,95530.91818943595,44376.610270201396,3863.0115381212636
7.5,3853833.4556210646,1489039.7486150654,119749.58070586916,95530.91818943595,34321.56507092004,2588.908598758285
10.0,3853833.4556210646,1210820.7944575087,91316.08126088709,95530.91818943595,27239.848060911794,1920.109594758513
12.5,3853833.4556210646,1028179.1949911151,74215.52853447983,95530.91818943595,22832.2859683391,1549.9638485745909
