Delta / Tau , 2Tau = 10ms,,, 2Tau = 500ms,,,
,BER=0.0, BER=1e-5, BER=1e-4, BER=0.0, BER=1e-5, BER=1e-4
2.5,963575.7694568584,833542.3605185355,231222.6667650466,23882.80168121113,20393.299577798738,5560.288142348451
5.0,963575.7694568584,738536.135493254,142382.4279970264,23882.80168121113,18188.668199945656,3179.3566013128816
7.5,963575.7694568584,668068.8519217394,104126.17553713822,23882.80168121113,15773.28753963323,2194.335411867012
10.0,963575.7694568584,614702.6872869144,80627.57874819552,23882.80168121113,14121.256484598001,1679.2731317587597
12.5,963575.7694568584,561547.6542167133,65420.69689388582,23882.80168121113,12782.487034083006,1386.8610554217287
