Delta / Tau , 2Tau = 10ms,,, 2Tau = 500ms,,,
,BER=0.0, BER=1e-5, BER=1e-4, BER=0.0, BER=1e-5, BER=1e-4
2.5,963575.7694568584,848815.8645673455,264688.8541652465,23882.80168121113,21042.857617197336,6594.521196034485
5.0,963575.7694568584,849534.2867971952,264926.0047908848,23882.80168121113,21120.270322969758,6546.804945442565
7.5,963575.7694568584,845182.5919732391,262424.0471871608,23882.80168121113,20878.03489860696,6439.265829730818
10.0,963575.7694568584,849294.6776343698,260762.92804983922,23882.80168121113,20935.13471354699,6421.068737159385
12.5,963575.7694568584,851395.8519976416,256122.3667300015,23882.80168121113,20977.796431394807,6289.2635011523635
