Delta / Tau , 2Tau = 10ms,,, 2Tau = 500ms,,,
,BER=0.0, BER=1e-5, BER=1e-4, BER=0.0, BER=1e-5, BER=1e-4
2.5,963575.7694568584,848038.9437591095,267683.84319680533,23882.80168121113,21011.755420550326,6533.687143173538
5.0,963575.7694568584,848218.1069162417,260529.70542302437,23882.80168121113,21010.276656709062,6465.000204704315
7.5,963575.7694568584,846846.4542087205,263347.8615326524,23882.80168121113,20976.32244344994,6397.553486407866
10.0,963575.7694568584,849594.2102144766,261336.80434380437,23882.80168121113,20888.26063638264,6377.264154818078
12.5,963575.7694568584,848397.3457921133,254808.86358580008,23882.80168121113,21066.616400760584,6305.6488812135585
